Identifier,SMILES
NPBS000043,O=C1C(OC2OC(CO)C(O)C(O)C2OC3OC(CO)C(O)C(O)C3O)=C(OC=4C=C(O)C=C(O)C14)C=5C=CC(O)=CC5
NPBS000044,O=C(OC1C(O)C(OC=2C(=O)C=3C(O)=CC(O)=CC3OC2C=4C=CC(O)=CC4)OC(C)C1OC(=O)C=CC5=CC=C(O)C=C5)C=CC6=CC=C(O)C=C6
NPBS000045,O=C(OC1C(OC=2C(=O)C=3C(O)=CC(O)=CC3OC2C=4C=CC(O)=CC4)OC(C)C(O)C1OC(=O)C=CC5=CC=C(O)C=C5)C=CC6=CC=C(O)C=C6
NPBS000046,O=C(OC1C(OC=2C(=O)C=3C(O)=CC(O)=CC3OC2C=4C=CC(O)=CC4)OC(C)C(OC(=O)C=CC5=CC=C(O)C=C5)C1O)C=CC6=CC=C(O)C=C6
NPBS000047,O=C1C(OC2OC(COC3OC(C)C(O)C(O)C3O)C(O)C(O)C2O)=C(OC=4C=C(O)C=C(O)C14)C=5C=CC(O)=CC5
NPBS000048,OC=1C(OC)=CC=C2C1C=3C(OC)=C(OC)C=C4C3C(NCC4)C2
NPBS000049,O=C(OC1CC(O)C23C4=CC=5OCOC5C(OC)=C4CN(CC2)C3C1)C
NPBS000050,O1C=2C=C3C(=CC2OC1)C45C=CC(OC)CC5N(C3)CC4
NPBS000051,O=S(C)CCCCC(=NOS(=O)(=O)O)SC1OC(CO)C(O)C(O)C1O
NPBS000052,O=C(OC1CC2NC(CC2)C1)C(C=3C=CC=CC3)CO
NPBS000053,O=C1OC(CC1C)C2N3CCCCC4C3C(C2)C5C(C(=O)OC5C4CC)C
NPBS000054,OCC1OC(OC2OC=CC3(O)C(O)CC(O)(C)C23)C(O)C(O)C1O
NPBS000055,O=C([O-])C1CCC[N+]1(C)C
NPBS000056,OC1CCC2(C)C3CCC4C5(O)C(O)C(O)C6C(CN7CC(C)CCC7C6(O)C)C5CC42OC13O
NPBS000057,OC=1C=C(O)C=2C=C(OC3OC(CO)C(O)C(O)C3O)C(=[O+]C2C1)C=4C=CC(O)=C(OC5OC(CO)C(O)C(O)C5O)C4
NPBS000058,OC=1C=CC(=CC1)C2=[O+]C=3C=C(O)C=C(OC4OC(CO)C(O)C(O)C4O)C3C=C2OC5OC(CO)C(O)C(O)C5O
NPBS000059,C=1C=CC2=C(C1)NC3=C2CCN4CCCC(C4)(CC)CC3
NPBS000060,OC=1C=C(O)C=2C=C(OC3OC(CO)C(O)C(O)C3O)C(=[O+]C2C1)C=4C=CC(O)=C(O)C4
NPBS000061,OCC(O)C(O)C(O)C(O)C(O)CO
NPBS000062,OC=1C=C(OC2OC(CO)C(O)C(O)C2O)C=3C=C(OC4OC(CO)C(O)C(O)C4O)C(=[O+]C3C1)C=5C=CC(O)=C(OC)C5
NPBS000063,OC=1C=C(O)C=2C=C(OC3OC(CO)C(O)C(O)C3O)C(=[O+]C2C1)C=4C=C(OC)C(O)=C(OC)C4
NPBS000064,OC=1C=C(OC2OC(CO)C(O)C(O)C2O)C=3C=C(OC4OC(CO)C(O)C(O)C4O)C(=[O+]C3C1)C=5C=C(OC)C(O)=C(OC)C5
NPBS000065,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23
NPBS000066,OC=1C=C(OC2OC(CO)C(O)C(O)C2O)C=3C=C(OC4OC(CO)C(O)C(O)C4O)C(=[O+]C3C1)C=5C=C(O)C(O)=C(O)C5
NPBS000067,OC=1C=CC(=CC1)C2=[O+]C=3C=C(O)C=C(O)C3C=C2OC4OC(CO)C(O)C(O)C4O
NPBS000068,C1=C(NC=N1)/C=C/C(=O)O
NPBS000069,N=1C=CC=2C=C(OC)C(OC)=CC2C1CC3CC4C5=CC(OC)=C(OC)C=C5CCN4CC3CC
NPBS000070,O=C(O)C=CC1=CN=CN1
NPBS000071,OC=1C=C(OC2OC(CO)C(O)C(O)C2O)C=3C=C(OC4OC(CO)C(O)C(O)C4O)C(=[O+]C3C1)C=5C=C(O)C(O)=C(OC)C5
NPBS000072,OC1=CC=C(C=C1OC)C=C(C)C(C)CC2=CC=C(O)C(OC)=C2
NPBS000073,O=C1C(OC2OC(C)C(O)C(O)C2O)=C(OC=3C=C(O)C=C(O)C13)C=4C=C(O)C(O)=C(O)C4
NPBS000074,O=C1C=C(OC2=CC(O)=C(C(O)=C12)C3OC(CO)C(O)C(O)C3O)C=4C=CC(O)=CC4
NPBS000075,O=C1C=C(OC=2C1=C(O)C=C(O)C2C3OC(CO)C(O)C(O)C3O)C=4C=CC(O)=CC4
NPBS000076,OC1=CC=C2C=C1OC=3C=C4C(=CC3OC)CCN(C)C4CC5=CC=C(OC=6C(O)=C(OC)C=C7C6C(N(C)CC7)C2)C=C5
NPBS000077,OC=1C=C(O)C2=C(OC(C=3C=CC=CC3)C(O)C2)C1
NPBS000078,O=C1C(OC)=C(OC=2C=C(OC3OC(CO)C(O)C(O)C3O)C(OC)=C(O)C12)C=4C=CC(OC)=C(O)C4
NPBS000079,OC=1C=C(O)C=2C=C(OC3OCC(O)C(O)C3O)C(=[O+]C2C1)C=4C=C(O)C(O)=C(O)C4
NPBS000080,OC=1C=C(O)C=2C=C(OC3OC(C)C(O)C(O)C3O)C(=[O+]C2C1)C=4C=CC(O)=C(OC)C4
NPBS000081,O=C1C(O)=C(OC2=CC(OC3OC(CO)C(O)C(O)C3O)=CC(O)=C12)C=4C=CC(O)=C(OC)C4
NPBS000082,O=C(O)C(C=1C=CC=CC1)=C2OC(=O)C(C=3C=CC=CC3)=C2O
NPBS000083,C1=CC=C(C=C1)C2=C(/C(=C(/C3=CC=CC=C3)\C(=O)O)/OC2=O)O
